Date,Stock
2003-07-31,992.5409102006392
2003-08-31,989.5319097609747
2003-09-30,1019.441900344122
2003-10-31,1038.7343431555707
2003-11-30,1049.8989450555098
2003-12-31,1080.6359197443182
2004-01-31,1132.5174987792968
2004-02-29,1143.3563232421875
2004-03-31,1123.9782449473505
2004-04-30,1133.0785725911458
2004-05-31,1102.7815002441407
2004-06-30,1132.7571556454614
2004-07-31,1105.846656436012
2004-08-31,1088.9349920099432
2004-09-30,1117.6562034970239
2004-10-31,1118.0680977957588
2004-11-30,1168.9376220703125
2004-12-31,1199.2095447887075
2005-01-31,1181.4079956054688
2005-02-28,1199.6268439041942
2005-03-31,1194.8977272727273
2005-04-30,1164.4276123046875
2005-05-31,1178.2757161458333
2005-06-30,1202.2531682794745
2005-07-31,1222.2369995117188
2005-08-31,1224.2699983016305
2005-09-30,1225.914771670387
2005-10-31,1191.9642857142858
2005-11-30,1237.3685651506696
2005-12-31,1262.0719110398065
2006-01-31,1278.7224975585937
2006-02-28,1276.6452765213817
2006-03-31,1293.7347783627717
2006-04-30,1302.1652703536183
2006-05-31,1290.0136274857955
2006-06-30,1253.1681795987215
2006-07-31,1260.2345031738282
2006-08-31,1287.1495679772418
2006-09-30,1317.7430114746094
2006-10-31,1363.3772638494318
2006-11-30,1388.634753999256
2006-12-31,1416.4200073242187
2007-01-31,1424.160986328125
2007-02-28,1444.7947484066613
2007-03-31,1406.9518210671165
2007-04-30,1463.6405029296875
2007-05-31,1511.1368130770597
2007-06-30,1514.4895193917412
2007-07-31,1520.7047584170386
2007-08-31,1454.6169592815897
2007-09-30,1497.1163265830592
2007-10-31,1539.65869140625
2007-11-30,1463.3852364676338
2007-12-31,1479.2234985351563
2008-01-31,1378.7638055710565
2008-02-29,1354.872509765625
2008-03-31,1316.9429931640625
2008-04-30,1370.4690940163352
2008-05-31,1403.2176164899554
2008-06-30,1341.250964936756
2008-07-31,1257.32636607777
2008-08-31,1281.4723656063989
2008-09-30,1217.0228562127977
2008-10-31,968.8008741295856
2008-11-30,883.04052734375
2008-12-31,877.5618175159801
2009-01-31,865.5755004882812
2009-02-28,805.2273688065378
2009-03-31,757.1268144087358
2009-04-30,848.1518990652902
2009-05-31,902.4085021972656
2009-06-30,926.1150013316761
2009-07-31,935.8213639692826
2009-08-31,1009.7247576032366
2009-09-30,1044.5523826962426
2009-10-31,1067.6636297052557
2009-11-30,1088.0690063476563
2009-12-31,1110.377724387429
2010-01-31,1123.5815815172698
2010-02-28,1089.1599892064144
2010-03-31,1152.0486901324728
2010-04-30,1197.316185360863
2010-05-31,1125.0620056152343
2010-06-30,1083.3608953302557
2010-07-31,1079.8033360072545
2010-08-31,1087.2822709517045
2010-09-30,1122.0819033668154
2010-10-31,1171.5838099888392
2010-11-30,1198.8885614304315
2010-12-31,1241.5254516601562
2011-01-31,1282.6184997558594
2011-02-28,1321.1178877981085
2011-03-31,1304.4865138841712
2011-04-30,1331.5050109863282
2011-05-31,1338.3104654947917
2011-06-30,1287.2886408025568
2011-07-31,1325.184503173828
2011-08-31,1185.3056534476902
2011-09-30,1173.8790573846727
2011-10-31,1207.2161865234375
2011-11-30,1226.414771670387
2011-12-31,1243.3228469122023
2012-01-31,1300.5780151367187
2012-02-29,1352.4875
2012-03-31,1389.2400013316762
2012-04-30,1386.4289855957031
2012-05-31,1341.2727161754262
2012-06-30,1323.4842936197917
2012-07-31,1359.7761986142114
2012-08-31,1403.4482581097147
2012-09-30,1443.4194721422698
2012-10-31,1437.816662016369
2012-11-30,1394.5123872302827
2012-12-31,1422.2854919433594
2013-01-31,1480.395240420387
2013-02-28,1512.3115812602796
2013-03-31,1550.8289855957032
2013-04-30,1570.702264959162
2013-05-31,1639.842723499645
2013-06-30,1618.7725158691405
2013-07-31,1668.6754427823153
2013-08-31,1670.0936390269887
2013-09-30,1687.1735046386718
2013-10-31,1720.0265317170517
2013-11-30,1783.5410034179688
2013-12-31,1807.7752336774554
2014-01-31,1822.3566603887648
2014-02-28,1817.0347386410363
2014-03-31,1863.5233386811756
2014-04-30,1864.2633347284227
2014-05-31,1889.7671421595983
2014-06-30,1947.087611607143
2014-07-31,1973.0999866832387
2014-08-31,1961.5319068545386
2014-09-30,1993.2261904761904
2014-10-31,1937.2743503736413
2014-11-30,2044.5721050061677
2014-12-31,2054.2663629705257
2015-01-31,2028.1785095214843
2015-02-28,2082.1957943564967
2015-03-31,2079.9904396750712
2015-04-30,2094.862839471726
2015-05-31,2111.9435180664063
2015-06-30,2099.2836581143465
2015-07-31,2094.1436268199573
2015-08-31,2039.8662051246279
2015-09-30,1944.4023844401042
2015-10-31,2024.8127163973722
2015-11-30,2080.61650390625
2015-12-31,2054.0795621004972
2016-01-31,1918.5978875411183
2016-02-29,1904.4184936523438
2016-03-31,2021.9540904651988
2016-04-30,2075.5352318173364
2016-05-31,2065.5504789806546
2016-06-30,2083.891368519176
2016-07-31,2148.9019775390625
2016-08-31,2177.482167119565
2016-09-30,2157.690964471726
2016-10-31,2143.0209379650296
2016-11-30,2164.9856887090773
2016-12-31,2246.6290457589284
2017-01-31,2275.1159790039064
2017-02-28,2329.9105417351975
2017-03-31,2366.822170091712
2017-04-30,2359.309454666941
2017-05-31,2395.345880681818
2017-06-30,2433.98545143821
2017-07-31,2454.102502441406
2017-08-31,2456.2230702275815
2017-09-30,2492.8410400390626
2017-10-31,2556.9972700639205
2017-11-30,2593.605736142113
2017-12-31,2664.34052734375
2018-01-31,2789.8038155691966
2018-02-28,2705.1552477384867
2018-03-31,2702.7738211495534
2018-04-30,2653.6252092633927
2018-05-31,2701.4936190518465
2018-06-30,2754.3528878348216
2018-07-31,2793.643357049851
2018-08-31,2857.8204292629075
2018-09-30,2901.5005139802633
2018-10-31,2785.4647800611415
2018-11-30,2723.231422061012
2018-12-31,2567.3073858963817
2019-01-31,2607.3899972098216
2019-02-28,2754.8642064144738
2019-03-31,2803.9837937127977
2019-04-30,2903.799979073661
2019-05-31,2854.705910422585
2019-06-30,2890.165979003906
2019-07-31,2996.1136363636365
2019-08-31,2897.450450550426
2019-09-30,2982.156005859375
2019-10-31,2977.675197435462
2019-11-30,3104.9044921875
2019-12-31,3176.74951171875
2020-01-31,3278.202857607887
2020-02-29,3277.3141832853617
2020-03-31,2652.393632368608
2020-04-30,2761.9752255394346
2020-05-31,2919.6084838867187
2020-06-30,3104.6609330610795
2020-07-31,3207.6190962357955
2020-08-31,3391.7100190662204
2020-09-30,3365.516671316964
2020-10-31,3418.6999955610795
2020-11-30,3548.99248046875
2020-12-31,3695.3100142045455
2021-01-31,3793.7484323601975
2021-02-28,3883.4321160567433
2021-03-31,3910.5082795516305
2021-04-30,4141.176199776785
2021-05-31,4167.849536132812
2021-06-30,4238.48954634233
2021-07-31,4363.712797619048
2021-08-31,4453.965931285511
2021-09-30,4445.543317522322
2021-10-31,4460.707077752976
2021-11-30,4667.386648995535
2021-12-31,4674.772771661932
2022-01-31,4573.815454101563
2022-02-28,4435.980494449013
2022-03-31,4391.265264096467
2022-04-30,4391.29599609375
2022-05-31,4040.3600027901784
2022-06-30,3898.9466843377977
2022-07-31,3911.7294921875
2022-08-31,4158.563083814538
2022-09-30,3850.5204961867557
2022-10-31,3726.050955636161
2022-11-30,3917.488595145089
2022-12-31,3912.3809523809523
2023-01-31,3960.656530761719
2023-02-28,4079.6847245065787
2023-03-31,3968.5591457201085
2023-04-30,4121.467362253289
2023-05-31,4146.1731955788355
2023-06-30,4345.372837611607
2023-07-31,4508.07548828125
2023-08-31,4457.358674422554
2023-09-30,4409.094995117188
2023-10-31,4269.400945490057
2023-11-30,4460.063313802083
2023-12-31,4685.051489257812
2024-01-31,4804.491513206845
2024-02-29,5011.96142578125
2024-03-31,5170.572485351562
2024-04-30,5112.492742365057
2024-05-31,5235.225497159091
2024-06-30,5415.140496504934
2024-07-31,5538.004572088068
2024-08-31,5478.214577414773
2024-09-30,5621.26044921875
2024-10-31,5792.319548233696
2024-11-30,5929.915991210937
2024-12-31,6010.908551897322
2025-01-31,5979.51552734375
2025-02-28,6038.689967105263
2025-03-31,5683.983351934524
2025-04-30,5369.495721726191
2025-05-31,5810.919480096726
2025-06-30,6029.951513671875
2025-07-31,6296.498180042614
2025-08-31,6408.949474516369
2025-09-30,6584.0180896577385
2025-10-31,6735.691724694293
2025-11-30,6796.203287760417
